Product ID,Product Name,Total Quantity Sold,Total Amount,Category
"""655f5a8afa2f65a414195aef""",Colorful Stylish Shirt,24,2214,Udupp
"""655f5ac2fa2f65a414195af1""",Jeans,36,4231.199999999998,Udupp
"""655f5af0fa2f65a414195af2""",Colorful Stylish Shirt,26,2238.5999999999995,Skirt
"""6585dac3791f353df1df631e""",T-Shirt,3,2925,Saree
"""656026376cc038282def3a68""",Jeans,2,135.3,Shirt
"""65868f7b8d55dfadb2c9c607""",Pants,2,2535,Udupp
"""655f5b0bfa2f65a414195af4""",Colorful Stylish Shirt,2,184.5,Saree
"""655f5b01fa2f65a414195af3""",Colorful Stylish Shirt,3,350.54999999999995,Udupp
"""655f5a67fa2f65a414195aee""", Shirt,4,492,Jeans
,Total Sales Amount:,,15306.149999999996,
